CALLES;FECHA;HORA SOLAR;Tª SOMBRA;Tª SOL;COORDENADAS;ORIENTACIÓN;;;;
Calle Fray Tomás de Berlanga;2023-29-09;14:28;33,6;38,3;"37°22'59.0""N 6°00'44.1""W";;;;;
Avenida de Coria;2023-29-09;14:34;33,2;48,3;"37°22'52.1""N 6°00'44.0""W";;;;;
Calle José Leon Sánz;2023-29-09;14:38;31;36,4;"37°22'50.6""N 6°00'47.4""W";;;;;
Calle José León;2023-29-09;14:40;26,8;52,2;"37°22'50.3""N 6°00'47.0""W";;;;;
Calle Giralda;2023-29-09;14:46;29,8;41,8;"37°22'49.8""N 6°00'37.0""W";;;;;
Calle Regla León;2023-29-09;14:35;27,9;52,7;"37°22'50.9""N 6°00'44.7""W";;;;;
Calle Nuestra Señora de la Salud;2023-29-09;14:49;28;45,1;"37°22'48.6""N 6°00'37.3""W";;;;;
Plaza San Martín de Porres (primaria);2023-29-09;14:52;31,5;52,3;"37°22'51.0""N 6°00'32.4""W";;;;;
Plaza de Montepirolo (peatonal);2023-30-09;14:13;36,9;52,1;"37°23'02.1""N 6°00'26.8""W";;;;;
Calle Antonio García Corona;2023-30-09;14:15;39,8;51,1;"37°23'03.0""N 6°00'25.1""W";;;;;
Calle Aceituneras;2023-30-09;14:16;35,8;44;"37°23'04.2""N 6°00'25.1""W";;;;;
Calle Pages del Corro (secundaria);2023-30-09;14:20;35,8;56,3;"37°23'06.8""N 6°00'23.6""W";;;;;
Calle Nuestro Padre Jesús Nazareno (peatonal);2023-30-09;14:21;31,4;42,8;"37°23'08.6""N 6°00'23.9""W";;;;;
Calle Alfarería;2023-30-09;14:25;31,9;53,3;"37°23'10.9""N 6°00'21.4""W
";;;;;
Calle Clara de Jesús Montero (secundaria)?;2023-30-09;14:28;33,3;41,7;"37°23'13.2""N 6°00'27.9""W";;;;;
Calle Procurador;2023-30-09;14:27;33;50,1;"37°23'13.5""N 6°00'26.4""W";;;;;
Plaza Virgen de la Amargura;2023-30-09;14:33;41,8;51,9;"37°23'16.5""N 6°00'33.9""W";;;;;
Calle de Manuel Vigil-Escalera Díaz;2023-30-09;;29,2;38,7;"37°23'17.7""N 6°00'35.3""W";;;;;
Calle Tejares;2023-30-09;14:39;27,2;44,5;"37°23'14.4""N 6°00'37.0""W";;;;;
Calle Niculoso Pisano;2023-30-09;14:18;30,8;46,2;"37°23'14.3""N 6°00'47.5""W";;;;;
Calle Termancia;2023-30-09;14:40;27,2;49,8;"37°23'13.4""N 6°00'38.0""W";;;;;
"""Calle Manuel Arellano""";2023-30-09;14:43;31,1;46,7;"37°23'08.8""N 6°00'41.1""W";;;;;
Calle Aracena;2023-30-09;14:46;31,1;44,4;"37°23'03.3""N 6°00'37.8""W";;;;;
